stadium_id,stadium_name,country_code,town,opening_year,capacity
a3141,Sportcentrum Suchdol ČZU,,Praha,,
a3142,Youmex Arena,JP,Shijiori City Nagano,,
a3143,Velencei-tavi Vízi Sportiskola,HU,Gárdony,2015.0,
a3144,Ginásio Sesc Criciúma,BR,Criciúma,,
a3147,Ginásio Municipal Condeixa,PT,Condeixa-a-Nova,,
a3148,Kauppi Sports Center,FI,Tampere,,
a3149,Pyynikin Palloiluhalli,FI,Tampere,,
a315,Gdynia Arena,PL,Gdynia,2008.0,5500.0
a3151,Pavilhão Arquitecto Jerónimo Reis,PT,Espinho,,
a3152,Gradia Viitaniemi,FI,Jyväskylä,,
a3153,LähiTapiola Arena,FI,Kuortane,,
a3154,Nunnavuoren Palloiluhalli,FI,Turku,,
a3156,Kleisto Dimotiko Gymnastirio Zacharias Alexandrou,GR,Nea Filadelfeia,1966.0,900.0
a3157,Kleisto Neas Filadelfeias Apostolos Kontos,GR,Nea Filadelfeia,2012.0,300.0
a3158,Kleisto Gymnastirio Vrilission,GR,Vrilissia,1999.0,300.0
a3159,GOR Sritex Arena,ID,Solo,,
a316,Hala Sportowa Zespołu Szkół Technicznych i Ogólnokształcących,PL,Gorzów Wielkopolski,1979.0,1100.0
